id,area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
0,US000,0,10,10,0,2016,A,,9716618,141870066,7607227485238,1585348464192,37906449684,1031,53621,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,193843,2.0,2378367,1.7,222279680914,3.0,48119092890,3.1,-3312645329,-8.0,13,1.3,679,1.3
1,US000,1,10,11,0,2016,A,,60379,2792987,218910901499,0,0,1507,78379,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,-418,-0.7,36553,1.3,4183583233,1.9,0,0.0,0,0.0,9,0.6,479,0.6
2,US000,1,101,12,0,2016,A,,121,49904,3922642597,0,0,1512,78603,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,0,0.0,1475,3.0,178110904,4.8,0,0.0,0,0.0,25,1.7,1283,1.7
3,US000,1,1011,13,0,2016,A,,74,3174,201308742,0,0,1220,63418,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,-2,-2.6,3,0.1,-5786394,-2.8,0,0.0,0,0.0,-36,-2.9,-1896,-2.9
4,US000,1,1012,13,0,2016,A,,2,5,463429,0,0,1944,101112,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,0,0.0,1,25.0,32162,7.5,0,0.0,0,0.0,-129,-6.2,-6705,-6.2
5,US000,1,1013,13,0,2016,A,,45,46725,3720870426,0,0,1531,79633,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,2,4.7,1471,3.3,183865136,5.2,0,0.0,0,0.0,28,1.9,1474,1.9
6,US000,1,102,12,0,2016,A,,60257,2743083,214988258902,0,0,1507,78375,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,-419,-0.7,35078,1.3,4005472329,1.9,0,0.0,0,0.0,9,0.6,464,0.6
7,US000,1,1021,13,0,2016,A,,30143,680057,40462304013,0,0,1144,59498,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,-100,-0.3,11048,1.7,-904527678,-2.2,0,0.0,0,0.0,-45,-3.8,-2335,-3.8
8,US000,1,1022,13,0,2016,A,,125,6616,496290170,0,0,1443,75013,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,-2,-1.6,-17,-0.3,4540929,0.9,0,0.0,0,0.0,17,1.2,872,1.2
9,US000,1,1023,13,0,2016,A,,798,13150,1473387981,0,0,2155,112043,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,-4,-0.5,-432,-3.2,1649497,0.1,0,0.0,0,0.0,71,3.4,3680,3.4
